UNIT_ID,COMPONENT_LOCATION,HOURS_OIL,Fe (ppm),Cu (ppm),Si (ppm),TBN (mgKOH/g),V100C,BUDGET,HORAS_VIDA_ACTUAL,REMAINING_LIFE
AH2718,MOTOR DIESEL,221,29,7,2,8.8,14.9,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,250,9,1,1,8.9,14.1,15000,774.0,14226.0
AH2714,MOTOR DIESEL,265,22,7,1,8.2,14.2,15000,7501.0,7499.0
AH2715,MOTOR DIESEL,330,13,5,1,8.3,14.7,15000,10113.0,4887.0
AH2725,MOTOR DIESEL,148,14,3,2,9.0,13.8,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,104,9,4,2,9.4,14.6,15000,5974.0,9026.0
AH2721,MOTOR DIESEL,261,11,1,1,8.7,14.0,15000,14022.0,978.0
AH2725,MOTOR DIESEL,124,11,2,2,9.0,13.8,15000,7138.0,7862.0
AH2714,MOTOR DIESEL,128,10,4,1,9.4,14.7,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,55,7,3,2,9.6,14.8,15000,5974.0,9026.0
AH2729,MOTOR DIESEL,262,13,1,1,8.8,14.1,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,253,26,4,2,8.4,13.7,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,297,55,12,4,8.3,14.3,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,121,13,9,1,9.1,14.6,15000,7501.0,7499.0
AH2726,MOTOR DIESEL,80,3,0,1,9.7,15.2,15000,1268.0,13732.0
AH2719,MOTOR DIESEL,176,5,1,1,9.3,14.7,15000,774.0,14226.0
AH2726,MOTOR DIESEL,260,11,1,2,9.2,15.0,15000,1268.0,13732.0
AH2715,MOTOR DIESEL,56,3,0,4,10.2,15.9,15000,10113.0,4887.0
AH2721,MOTOR DIESEL,110,3,0,1,9.9,14.5,15000,14022.0,978.0
AH2714,MOTOR DIESEL,257,74,13,2,7.5,14.1,15000,7501.0,7499.0
AH2715,MOTOR DIESEL,273,24,11,2,8.2,14.4,15000,10113.0,4887.0
AH2725,MOTOR DIESEL,269,29,10,3,8.4,13.2,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,92,6,0,1,9.6,14.5,15000,9160.0,5840.0
AH2721,MOTOR DIESEL,70,10,1,1,8.5,13.7,15000,14022.0,978.0
AH2726,MOTOR DIESEL,280,12,1,2,9.1,15.0,15000,1268.0,13732.0
AH2729,MOTOR DIESEL,289,14,1,1,8.9,14.0,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,79,10,6,2,9.3,14.1,15000,7138.0,7862.0
